FID,roof,road,watr,conc,Veg,dry,irr,H,W
6105,0.287888851,0,0,0.199803456,0.421538462,0.090769231,0,1.896615385,17.63076923
6106,0.602770149,0,0,0.336429851,0.0512,0.008,0.0016,2.84832,11.424
6107,0.41310365,0,0,0.35169635,0.224,0.0112,0,2.17856,15.792
6108,0.164744186,0,0.0016,0.011255814,0.1984,0.5632,0.0608,1.18496,22.272
6109,0,0,0.003076923,0,0.004615385,0.987692308,0.004615385,0,30
6110,0,0,0.04,0,0.1184,0.6592,0.1824,0,30
6111,0,0,0.0144,0,0.2256,0.6608,0.0992,0,30
6112,0.231511579,0,0,0.021288421,0.1024,0.5456,0.0992,2.784,21.648
6113,0.239478652,0,0,0.130121348,0.1152,0.5008,0.0144,2.768,21.696
6114,0,0,0,0,0.472307692,0.433846154,0.093846154,0.030769231,29.90769231
6115,0.001257453,0,0.0032,0.462742547,0.2528,0.2528,0.0272,0.016,29.952
6116,0,0,0,0,0,1,0,0,30
6117,0,0,0,0,0.0032,0.9968,0,0,30
6118,0,0,0,0.3008,0.2272,0.472,0,0,30
6119,0,0,0,0.786153846,0.2,0.013846154,0,0,30
6120,0,0,0,0.2544,0.1248,0.6208,0,0,30
6121,0,0,0,0.408,0.256,0.336,0,0,30
6122,0.832517172,0,0,0.069882828,0.096,0.0016,0,8.768,3.696
6123,0.623294915,0,0.0016,0.187905085,0.0768,0.1104,0,6.528,10.416
6124,0.467809524,0,0,0.47680586,0.04923077,0.006153846,0,4.8,15.6
6125,0.9424,0,0,0.0576,0,0,0,9.424,1.728
6126,0.345128834,0,0.0048,0.230871166,0.4128,0.0048,0.0016,4.688,15.936
6127,0,0,0.0016,0,0.992,0.0032,0.0032,4.56,16.32
6128,0,0,0,0,0.9888,0,0.0112,3.984,18.048
6129,0.102627807,0,0.033846154,0.081987577,0.621538462,0.095384615,0.064615385,2.753846154,21.73846154
6130,0.378765563,0,0.0016,0.090034437,0.512,0.0176,0,5.856,12.432
6131,0.8096,0,0,0.0736,0.1152,0.0016,0,8.624,4.128
6132,0.182546631,0,0.0096,0.046253369,0.7296,0.0208,0.0112,4.736,15.792
6133,0.996923076,0,0,0,0.003076924,0,0,9.984615385,0.046153846
6134,0.853582979,0,0,0.101617021,0.0448,0,0,8.736,3.792
6135,0.143673469,0,0,0.137926531,0.064,0.4592,0.1952,1.6,25.2
6136,0.011118806,0,0.1744,0.454481194,0.1408,0.2144,0.0048,0.128,29.616
6137,0.01483105,0,0.1664,0.07796895,0.5152,0.2144,0.0112,0.56,28.32
6138,0,0,0.361538462,0,0.45076923,0.176923077,0.010769231,0.030769231,29.90769231
6139,0,0,0.6048,0,0.216,0.168,0.0112,0.032,29.904
6140,0,0,0.368,0,0.4304,0.1424,0.0592,0.112,29.664
6141,0,0,0.112,0,0.6304,0.2208,0.0368,0.416,28.752
6142,0,0,0.0336,0,0.16,0.8032,0.0032,0.144,29.568
